Time stamp,System power generated | (kW),Wind speed | (m/s),Wind direction | (deg),Pressure | (atm),Air temperature | ('C)
"Jan 1, 12:00 am",1766.64,9.926,128,1.00048,18.263
"Jan 1, 01:00 am",1433.83,9.273,135,0.99979,18.363
"Jan 1, 02:00 am",1167.23,8.66,142,0.999592,18.663
"Jan 1, 03:00 am",1524.59,9.461,148,0.998309,18.763
"Jan 1, 04:00 am",1384.28,9.184,150,0.998507,18.963
"Jan 1, 05:00 am",1293.93,8.996,149,0.998507,19.063
"Jan 1, 06:00 am",1301.63,9.016,151,0.998211,19.113
"Jan 1, 07:00 am",1308.13,9.036,154,0.997815,19.163
"Jan 1, 08:00 am",792.081,7.612,154,1.00028,19.363
"Jan 1, 09:00 am",399.537,6.129,162,1.00295,19.963
"Jan 1, 10:00 am",362.988,5.961,152,1.00048,20.763
"Jan 1, 11:00 am",951.359,8.117,141,1.00068,21.063
"Jan 1, 12:00 pm",1549.75,9.54,141,0.996926,21.063
"Jan 1, 01:00 pm",1835.22,10.094,136,1.00028,20.763
"Jan 1, 02:00 pm",1208.37,8.789,137,0.998801,20.663
"Jan 1, 03:00 pm",686.154,7.286,126,0.999986,20.663
"Jan 1, 04:00 pm",624.105,7.088,122,0.999591,20.563
"Jan 1, 05:00 pm",678.936,7.266,121,0.997715,20.363
"Jan 1, 06:00 pm",1187.51,8.739,116,0.996334,20.363
"Jan 1, 07:00 pm",1881.72,10.212,126,0.994952,20.363
"Jan 1, 08:00 pm",1685.91,9.797,132,0.998406,20.363
"Jan 1, 09:00 pm",1188.7,8.729,149,1.00048,20.263
"Jan 1, 10:00 pm",939.228,8.087,155,0.99821,20.263
"Jan 1, 11:00 pm",772.632,7.563,160,0.998703,20.263
"Jan 2, 12:00 am",1006.16,8.265,157,0.996432,20.163
"Jan 2, 01:00 am",1150.85,8.631,157,0.998999,19.863
"Jan 2, 02:00 am",1116.59,8.542,167,0.998802,19.663
"Jan 2, 03:00 am",647.342,7.158,176,0.997914,19.563
"Jan 2, 04:00 am",528.178,6.693,174,0.994952,19.463
"Jan 2, 05:00 am",602.899,7.009,175,0.996335,19.263
"Jan 2, 06:00 am",591.48,6.96,162,0.996433,19.513
"Jan 2, 07:00 am",578.963,6.91,177,0.996432,19.763
"Jan 2, 08:00 am",387.965,6.09,177,0.995643,19.763
"Jan 2, 09:00 am",596.94,6.99,173,0.996926,20.263
"Jan 2, 10:00 am",501.324,6.584,175,0.997518,21.063
"Jan 2, 11:00 am",184.65,4.884,166,1.00048,22.263
"Jan 2, 12:00 pm",185.902,4.904,135,0.995937,22.663
"Jan 2, 01:00 pm",544.988,6.782,120,0.994655,21.563
"Jan 2, 02:00 pm",993.34,8.245,126,0.993964,20.863
"Jan 2, 03:00 pm",1454.04,9.352,132,0.996432,21.063
"Jan 2, 04:00 pm",2090.64,10.697,140,0.994457,21.463
"Jan 2, 05:00 pm",2586.1,11.992,142,0.994457,21.163
"Jan 2, 06:00 pm",2378.47,11.399,145,0.99426,20.713
"Jan 2, 07:00 pm",2145.09,10.806,153,0.994162,20.263
"Jan 2, 08:00 pm",2294.79,11.142,150,0.996432,19.763
"Jan 2, 09:00 pm",2085.15,10.657,155,0.996334,19.863
"Jan 2, 10:00 pm",2067.89,10.628,158,0.99436,19.963
"Jan 2, 11:00 pm",1918.02,10.291,162,0.994853,19.963
"Jan 3, 12:00 am",1796.63,10.025,160,0.994458,19.863
"Jan 3, 01:00 am",1513.84,9.461,162,0.995347,19.863
"Jan 3, 02:00 am",1508.79,9.451,165,0.994952,19.863
"Jan 3, 03:00 am",2028.06,10.539,166,0.993866,19.863
"Jan 3, 04:00 am",1857.71,10.163,168,0.991793,19.863
"Jan 3, 05:00 am",1907.65,10.272,167,0.99209,19.663
"Jan 3, 06:00 am",1955.66,10.38,162,0.992386,19.813
"Jan 3, 07:00 am",2004.11,10.489,167,0.992781,19.963
"Jan 3, 08:00 am",1680.99,9.797,163,0.994754,20.163
"Jan 3, 09:00 am",1756.95,9.965,167,0.992187,20.963
"Jan 3, 10:00 am",1726.52,9.916,156,0.990805,21.563
"Jan 3, 11:00 am",2047.12,10.608,150,0.993272,21.863
"Jan 3, 12:00 pm",2248.96,11.063,145,0.993568,21.763
"Jan 3, 01:00 pm",2528.86,11.844,142,0.992779,21.763
"Jan 3, 02:00 pm",2764.96,12.753,141,0.990015,21.563
"Jan 3, 03:00 pm",2941.47,13.89,143,0.988534,21.363
"Jan 3, 04:00 pm",2831.9,13.06,145,0.987744,21.263
"Jan 3, 05:00 pm",2664.46,12.298,148,0.988239,20.863
"Jan 3, 06:00 pm",2642.42,12.19,150,0.989522,20.613
"Jan 3, 07:00 pm",2616.17,12.081,151,0.990806,20.363
"Jan 3, 08:00 pm",2595.34,12.022,147,0.990707,20.163
"Jan 3, 09:00 pm",2728.06,12.555,149,0.992484,20.063
"Jan 3, 10:00 pm",2825.07,13,153,0.990707,20.163
"Jan 3, 11:00 pm",2857.35,13.168,152,0.990016,20.163
"Jan 4, 12:00 am",2805.3,12.921,156,0.988436,20.163
"Jan 4, 01:00 am",2671.64,12.308,159,0.991595,20.263
"Jan 4, 02:00 am",2713.9,12.506,166,0.990016,20.363
"Jan 4, 03:00 am",2817.75,12.981,166,0.988535,20.463
"Jan 4, 04:00 am",2788.04,12.852,167,0.987449,20.463
"Jan 4, 05:00 am",2711.18,12.506,170,0.98814,20.563
"Jan 4, 06:00 am",2492.39,11.745,172,0.987943,20.813
"Jan 4, 07:00 am",2213.25,10.993,172,0.987744,21.063
"Jan 4, 08:00 am",1761.58,9.985,172,0.990311,21.363
"Jan 4, 09:00 am",1570.07,9.609,173,0.990015,21.663
"Jan 4, 10:00 am",1198.44,8.799,157,0.990212,21.863
"Jan 4, 11:00 am",1024.2,8.344,149,0.991101,21.763
"Jan 4, 12:00 pm",1646.62,9.768,140,0.988238,21.763
"Jan 4, 01:00 pm",1641.59,9.758,139,0.98804,21.563
"Jan 4, 02:00 pm",1523.3,9.53,140,0.986362,21.863
"Jan 4, 03:00 pm",1776.68,10.034,136,0.985968,21.663
"Jan 4, 04:00 pm",2036.19,10.608,136,0.984488,21.163
"Jan 4, 05:00 pm",2288.37,11.171,142,0.986561,20.563
"Jan 4, 06:00 pm",1762.46,9.995,150,0.986856,21.063
"Jan 4, 07:00 pm",1202.84,8.818,155,0.987152,21.563
"Jan 4, 08:00 pm",461.536,6.426,159,0.992483,21.363
"Jan 4, 09:00 pm",530.497,6.723,165,0.991792,21.163
"Jan 4, 10:00 pm",300.86,5.615,166,0.992286,20.863
"Jan 4, 11:00 pm",58.2514,3.747,171,0.991793,20.563
"Jan 5, 12:00 am",0,2.491,156,0.991694,20.263
"Jan 5, 01:00 am",0,0.484,95,0.994162,19.963
"Jan 5, 02:00 am",906.708,7.988,5,0.992486,18.263
"Jan 5, 03:00 am",2920.86,13.584,20,0.99318,13.863
"Jan 5, 04:00 am",2805.53,12.822,19,0.993475,14.863
"Jan 5, 05:00 am",2632.4,12.031,19,0.994858,13.963
"Jan 5, 06:00 am",2344.17,11.201,10,0.994267,12.913
"Jan 5, 07:00 am",1995.81,10.371,5,0.993675,11.863
"Jan 5, 08:00 am",2677.41,12.19,3,0.997031,11.663
"Jan 5, 09:00 am",2581.64,11.834,10,0.998611,11.763
"Jan 5, 10:00 am",2119.17,10.638,12,0.996933,12.163
"Jan 5, 11:00 am",1639.65,9.619,12,0.999301,12.763
"Jan 5, 12:00 pm",1955.95,10.282,15,0.998609,13.263
"Jan 5, 01:00 pm",1299.54,8.947,15,0.999696,13.263
"Jan 5, 02:00 pm",948.183,8.047,12,0.998609,13.563
"Jan 5, 03:00 pm",1069.99,8.364,14,0.999004,13.963
"Jan 5, 04:00 pm",1135.09,8.532,12,0.999695,14.163
"Jan 5, 05:00 pm",1567.55,9.491,13,0.999794,14.163
