date,wind_speed,wind_direc,pressure,air_temperature,spg
2018-12-31 00:00:00,9.926,128,1.00048,18.263,1766.64
2018-12-31 01:00:00,9.273,135,0.99979,18.363,1433.83
2018-12-31 02:00:00,8.66,142,0.999592,18.663,1167.23
2018-12-31 03:00:00,9.461,148,0.998309,18.763,1524.59
2018-12-31 04:00:00,9.184,150,0.998507,18.963,1384.28
2018-12-31 05:00:00,8.996,149,0.998507,19.063,1293.93
2018-12-31 06:00:00,9.016,151,0.998211,19.113,1301.63
2018-12-31 07:00:00,9.036,154,0.997815,19.163,1308.13
2018-12-31 08:00:00,7.612,154,1.00028,19.363,792.081
2018-12-31 09:00:00,6.129,162,1.00295,19.963,399.537
2018-12-31 10:00:00,5.961,152,1.00048,20.763,362.988
2018-12-31 11:00:00,8.117,141,1.00068,21.063,951.359
2018-12-31 12:00:00,9.54,141,0.996926,21.063,1549.75
2018-12-31 13:00:00,10.094,136,1.00028,20.763,1835.22
2018-12-31 14:00:00,8.789,137,0.998801,20.663,1208.37
2018-12-31 15:00:00,7.286,126,0.999986,20.663,686.154
2018-12-31 16:00:00,7.088,122,0.999591,20.563,624.105
2018-12-31 17:00:00,7.266,121,0.997715,20.363,678.936
2018-12-31 18:00:00,8.739,116,0.996334,20.363,1187.51
2018-12-31 19:00:00,10.212,126,0.994952,20.363,1881.72
2018-12-31 20:00:00,9.797,132,0.998406,20.363,1685.91
2018-12-31 21:00:00,8.729,149,1.00048,20.263,1188.7
2018-12-31 22:00:00,8.087,155,0.99821,20.263,939.228
2018-12-31 23:00:00,7.563,160,0.998703,20.263,772.632
2019-01-01 00:00:00,8.265,157,0.996432,20.163,1006.16
2019-01-01 01:00:00,8.631,157,0.998999,19.863,1150.85
2019-01-01 02:00:00,8.542,167,0.998802,19.663,1116.59
2019-01-01 03:00:00,7.158,176,0.997914,19.563,647.342
2019-01-01 04:00:00,6.693,174,0.994952,19.463,528.178
2019-01-01 05:00:00,7.009,175,0.996335,19.263,602.899
2019-01-01 06:00:00,6.96,162,0.996433,19.513,591.48
2019-01-01 07:00:00,6.91,177,0.996432,19.763,578.963
