date,price
2007-02-04,7.93
2007-02-11,8.15
2007-02-18,8.24
2007-02-25,8.85
2007-03-04,8.69
2007-03-11,8.51
2007-03-18,8.6
2007-03-25,8.33
2007-04-01,8.04
2007-04-08,7.95
2007-04-15,7.78
2007-04-22,7.64
2007-04-29,7.79
2007-05-06,8.09
2007-05-13,8.16
2007-05-20,8.26
2007-05-27,8.4
2007-06-03,8.75
2007-06-10,8.86
2007-06-17,8.69
2007-06-24,8.42
2007-07-01,8.14
2007-07-08,8.18
2007-07-15,8.13
2007-07-22,7.79
2007-07-29,7.97
2007-08-05,7.83
2007-08-12,7.74
2007-08-19,7.88
2007-08-26,7.82
2007-09-02,7.88
2007-09-09,8.0
2007-09-16,7.99
2007-09-23,7.99
2007-09-30,8.25
2007-10-07,8.38
2007-10-14,7.93
2007-10-21,7.69
2007-10-28,7.3
2007-11-04,6.15
2007-11-11,6.41
2007-11-18,6.8
2007-11-25,6.79
2007-12-02,6.75
2007-12-09,6.74
2007-12-16,6.69
2007-12-23,6.83
2007-12-30,7.09
2008-01-06,7.83
2008-01-13,7.91
2008-01-20,7.9
2008-01-27,8.19
2008-02-03,9.38
2008-02-10,9.46
2008-02-17,8.62
2008-02-24,7.64
2008-03-02,7.15
2008-03-09,7.57
2008-03-16,7.47
2008-03-23,7.4
2008-03-30,7.93
2008-04-06,8.63
2008-04-13,8.76
2008-04-20,8.9
2008-04-27,9.22
2008-05-04,9.6
2008-05-11,9.16
2008-05-18,9.64
2008-05-25,9.55
2008-06-01,9.55
2008-06-08,9.2
2008-06-15,8.81
2008-06-22,8.22
2008-06-29,7.44
2008-07-06,6.96
2008-07-13,6.54
2008-07-20,6.31
2008-07-27,6.47
2008-08-03,6.55
2008-08-10,7.16
2008-08-17,7.0
2008-08-24,6.5
2008-08-31,6.35
2008-09-07,6.4
2008-09-14,7.52
2008-09-21,7.49
2008-09-28,7.39
2008-10-05,7.6
2008-10-12,7.38
2008-10-19,7.01
2008-10-26,7.04
2008-11-02,7.18
2008-11-09,7.36
2008-11-16,7.93
2008-11-23,8.15
